checkpoint,dataset,snr,n,mean,t_lo,t_hi,median,s_lo,s_hi,spread_kind
ft_A2,steering,inf,9,0.972916899787055,0.9685805950015839,0.9772532045725261,0.9704981356859207,0.9645702362060546,0.981077267229557,min-max
ft_A2,tablet_writing,10.0,44,0.8092305427520553,0.7983450764604898,0.8201160090436208,0.8084543960935929,0.7345519308974169,0.8700817256669203,p2.5-p97.5
ft_A2,tablet_writing,20.0,44,0.8572543382733333,0.8473408622485561,0.8671678142981105,0.8578901208937169,0.7914379453661097,0.9151908561587333,p2.5-p97.5
ft_A2,tablet_writing,inf,44,0.863318225579759,0.8533499715136987,0.8732864796458193,0.8650767417515026,0.7964871823354516,0.9256898165561935,p2.5-p97.5
ft_A2,whacamole,10.0,181,0.8998375146428524,0.8894446770474198,0.9102303522382851,0.9292275905609132,0.6713945269584656,0.9591053426265717,p2.5-p97.5
ft_A2,whacamole,20.0,181,0.9246158879764831,0.913918100180207,0.9353136757727591,0.9568535685539246,0.691180557012558,0.9794989228248596,p2.5-p97.5
ft_A2,whacamole,inf,181,0.9282115918496696,0.9175442482987295,0.9388789354006097,0.959666073322296,0.7049601674079895,0.9830556511878967,p2.5-p97.5
ft_B,Fitts,10.0,10,0.8665416173466106,0.8358397622599711,0.8972434724332501,0.8688146542639485,0.7789472473992242,0.9292533570720304,min-max
ft_B,Fitts,20.0,10,0.8800330641791485,0.850302224687896,0.909763903670401,0.8838575068447325,0.7919714220420078,0.9384798525665213,min-max
ft_B,Fitts,inf,10,0.8784434076967326,0.8477319130202742,0.909154902373191,0.8825071798162232,0.7861087336032478,0.9396914283068316,min-max
ft_B,crank,10.0,5,0.884372459590435,0.870406928662085,0.8983379905187849,0.8890220195055007,0.871620864868164,0.894790800511837,min-max
ft_B,crank,20.0,5,0.9169191538691521,0.907783861281817,0.9260544464564873,0.9163289898633957,0.9093461829423904,0.9277823865413666,min-max
ft_B,crank,inf,5,0.8963753764629363,0.8849394932763934,0.9078112596494792,0.8991992884874344,0.8841417852044106,0.907752694785595,min-max
ft_B,object_moving,10.0,5,0.9305745908617974,0.923941810235404,0.9372073714881908,0.9320996440947056,0.9224814638495445,0.9350967239588499,min-max
ft_B,object_moving,20.0,5,0.9741115874052048,0.97201057880549,0.9762125960049195,0.9736225187778473,0.9725594490766525,0.9761535011231899,min-max
ft_B,object_moving,inf,5,0.9693752710521221,0.9677563608999035,0.9709941812043407,0.9686845008283853,0.9681573588401079,0.9711510140448809,min-max
ft_B,pointing,10.0,2,0.96864029889932,0.9320497002281432,1.0052308975704969,0.96864029889932,0.9657605563301638,0.9715200414684763,min-max
ft_B,pointing,20.0,2,0.9818240001813532,0.967369678800566,0.9962783215621404,0.9818240001813532,0.9806864204176937,0.9829615799450128,min-max
ft_B,pointing,inf,2,0.9801894553023341,0.9580488471695332,1.002330063435135,0.9801894553023341,0.9784469516521477,0.9819319589525206,min-max
ft_B,steering,10.0,9,0.9406880668467945,0.9365926795038112,0.9447834541897778,0.9388036012649537,0.9325813621282577,0.9493816703557968,min-max
ft_B,steering,20.0,9,0.9704383929570517,0.9658830333637843,0.9749937525503191,0.9680415883660316,0.9621386483311654,0.9792361363768578,min-max
ft_B,steering,inf,9,0.9738987454109722,0.9696653969429871,0.9781320938789573,0.9720904916524887,0.9663847550749779,0.9820824310183525,min-max
ft_B,tablet_writing,10.0,44,0.8136323475427448,0.8039209180703041,0.8233437770151856,0.8140859835696491,0.7455245905939271,0.8714717208255421,p2.5-p97.5
ft_B,tablet_writing,20.0,44,0.85862656834562,0.8492857677458008,0.8679673689454392,0.8600191736603804,0.7967979674216579,0.9243470100923018,p2.5-p97.5
ft_B,tablet_writing,inf,44,0.8655798169374121,0.8564877507771824,0.8746718830976419,0.8657473926317883,0.8051098463871581,0.9253956707228314,p2.5-p97.5
ft_B,whacamole,10.0,181,0.8937224268254654,0.8820822056569149,0.905362647994016,0.9262328147888184,0.6333845257759094,0.9555014073848724,p2.5-p97.5
ft_B,whacamole,20.0,181,0.9195495754974323,0.9076087054773121,0.9314904455175526,0.9541863799095154,0.6538140177726746,0.9789316654205322,p2.5-p97.5
ft_B,whacamole,inf,181,0.9231188178721054,0.9111678109111746,0.9350698248330361,0.956963300704956,0.6581436693668365,0.9837076961994171,p2.5-p97.5
ft_B2,Fitts,10.0,10,0.8647580341929972,0.8333848746138851,0.8961311937721094,0.8657776578541709,0.7742477767169476,0.9295328893969136,min-max
ft_B2,Fitts,20.0,10,0.8818652453196526,0.8527409232848788,0.9109895673544264,0.8840921329180826,0.7952623317639033,0.9403290604849198,min-max
ft_B2,Fitts,inf,10,0.8804525446076088,0.8503622034043526,0.910542885810865,0.8837290644304889,0.7882622312064524,0.9400596727607071,min-max
ft_B2,crank,10.0,5,0.884503031909466,0.8712289609008076,0.8977771029181244,0.8875217717885971,0.8695870599150658,0.8945814153552055,min-max
ft_B2,crank,20.0,5,0.9209648131728173,0.9113187282813935,0.9306108980642411,0.9211424249410629,0.9113100031018257,0.9321488779783249,min-max
ft_B2,crank,inf,5,0.8989746124148368,0.8838715639104876,0.914077660919186,0.898517311513424,0.8799264231324195,0.9107710620760918,min-max
ft_B2,object_moving,10.0,5,0.9177866372466088,0.9106828495866193,0.9248904249065983,0.9143727578222751,0.9136611558496952,0.9271608017385006,min-max
ft_B2,object_moving,20.0,5,0.96988107226789,0.9670246206721159,0.9727375238636641,0.9688022620975971,0.9683360304683447,0.9738804213702679,min-max
ft_B2,object_moving,inf,5,0.9673938670754433,0.964612779866401,0.9701749542844855,0.9684800833463669,0.9640123564749956,0.9692167457193136,min-max
ft_B2,pointing,10.0,2,0.9655434548521338,0.947926122914503,0.9831607867897646,0.9655434548521338,0.9641569407589464,0.9669299689453212,min-max
ft_B2,pointing,20.0,2,0.9778155047835604,0.9647543272423422,0.9908766823247785,0.9778155047835604,0.9767875678179271,0.9788434417491936,min-max
ft_B2,pointing,inf,2,0.978355801112302,0.9505408055865642,1.00617079663804,0.978355801112302,0.9761667134891073,0.9805448887354967,min-max
ft_B2,steering,10.0,9,0.9389567588766415,0.934820771440879,0.943092746312404,0.9372539401054383,0.9301469996571541,0.9474776431918144,min-max
ft_B2,steering,20.0,9,0.969904980229007,0.9653146745262898,0.9744952859317241,0.9680614814162254,0.9617674559354782,0.9786775261163712,min-max
ft_B2,steering,inf,9,0.9736567576726277,0.9692781067040998,0.9780354086411557,0.9717258274555206,0.9656482174992561,0.9820448353886604,min-max
ft_B2,tablet_writing,10.0,44,0.8134986294061233,0.8034043288958936,0.8235929299163529,0.8157791765217475,0.7421822926139131,0.8691761195659637,p2.5-p97.5
ft_B2,tablet_writing,20.0,44,0.8586346169359154,0.8493630375675245,0.8679061963043062,0.8592272223096602,0.7955837797297831,0.918620530962944,p2.5-p97.5
ft_B2,tablet_writing,inf,44,0.8655283645650381,0.8566032030210712,0.8744535261090051,0.8663748396951475,0.80347196669263,0.9190948693860661,p2.5-p97.5
ft_B2,whacamole,10.0,181,0.8955299587539547,0.8845597832941747,0.9065001342137347,0.9260494112968444,0.6615716814994812,0.9577026665210724,p2.5-p97.5
ft_B2,whacamole,20.0,181,0.9209759307829715,0.9096343606633789,0.932317500902564,0.9540882110595704,0.6790808737277985,0.9796763360500336,p2.5-p97.5
ft_B2,whacamole,inf,181,0.9246832507749947,0.9134000831876122,0.9359664183623772,0.9573906064033508,0.6927718222141266,0.9831418097019196,p2.5-p97.5
ft_released,Fitts,10.0,10,0.868548220402413,0.8380558101853721,0.8990406306194538,0.8711481533963229,0.7795382427672545,0.9322358085080042,min-max
ft_released,Fitts,20.0,10,0.882300722432869,0.8537657754474516,0.9108356694182863,0.885794668992335,0.7987752788596683,0.9410091560740258,min-max
ft_released,Fitts,inf,10,0.8826060267088487,0.8540287171414894,0.911183336276208,0.8850955873410522,0.7980846232838101,0.9414887257984706,min-max
ft_released,crank,10.0,5,0.8883003858327866,0.875881461676891,0.9007193099886822,0.8857716408371925,0.8752202832698822,0.901099761724472,min-max
ft_released,crank,20.0,5,0.9234421930313109,0.9166788832277168,0.930205502834905,0.9249751192331314,0.9169507893919945,0.9303542160987854,min-max
ft_released,crank,inf,5,0.886528250694275,0.8798507852032802,0.8932057161852698,0.8899253803491592,0.8799760165810585,0.8908600571751595,min-max
ft_released,object_moving,10.0,5,0.9198083309829235,0.9141047602711334,0.9255119016947135,0.9206288881599903,0.9152421001344919,0.9265176925808192,min-max
ft_released,object_moving,20.0,5,0.9748051395267249,0.9721796103124628,0.9774306687409869,0.9748430978506804,0.9715768281370402,0.9770347457379103,min-max
ft_released,object_moving,inf,5,0.9710281798243521,0.9661083893402322,0.9759479703084719,0.971339524909854,0.9654020249843598,0.9754741325974464,min-max
ft_released,pointing,10.0,2,0.968272896431305,0.9420245115077222,0.9945212813548878,0.968272896431305,0.9662071037364294,0.9703386891261805,min-max
ft_released,pointing,20.0,2,0.9808329775708489,0.9473319682962426,1.0143339868454553,0.9808329775708489,0.97819639096059,0.9834695641811078,min-max
ft_released,pointing,inf,2,0.9827153747327495,0.9595916835018128,1.0058390659636862,0.9827153747327495,0.9808955007647894,0.9845352487007097,min-max
ft_released,steering,10.0,9,0.94359183460474,0.9393344212570673,0.9478492479524128,0.9426127552986145,0.9358219161629677,0.9525981605052948,min-max
ft_released,steering,20.0,9,0.9704385644859737,0.9658605462657062,0.9750165827062411,0.9681242853403091,0.9620296373963356,0.9792527258396149,min-max
ft_released,steering,inf,9,0.9727971616718504,0.9684064077726783,0.9771879155710225,0.9710563704371452,0.9645567014813423,0.9812128528952598,min-max
ft_released,tablet_writing,10.0,44,0.8092991018985681,0.7984952032735749,0.8201030005235613,0.8097664795994499,0.7357044366408756,0.8676075766032392,p2.5-p97.5
ft_released,tablet_writing,20.0,44,0.8567514640519108,0.8472435229259654,0.8662594051778563,0.8579464490074304,0.7910365412590157,0.91299404874444,p2.5-p97.5
ft_released,tablet_writing,inf,44,0.8641826426432018,0.8544977394326287,0.8738675458537748,0.8670833647013056,0.7975615088069855,0.9218522740279635,p2.5-p97.5
ft_released,whacamole,10.0,181,0.9007553155250971,0.8905684066777332,0.9109422243724611,0.9281864166259766,0.6856521368026733,0.9604186117649078,p2.5-p97.5
ft_released,whacamole,20.0,181,0.925622118112132,0.9151254888663443,0.9361187473579198,0.9566518664360046,0.70650714635849,0.9796022474765778,p2.5-p97.5
ft_released,whacamole,inf,181,0.9291476999198535,0.9186363288586239,0.939659070981083,0.9593687057495116,0.7116721868515015,0.9826688468456268,p2.5-p97.5
pre_released,Fitts,10.0,10,0.8729022200603651,0.8443890941501112,0.901415345970619,0.876161206086602,0.7920720123306468,0.9344377367544101,min-max
pre_released,Fitts,20.0,10,0.8853367523820772,0.8574420785989383,0.9132314261652161,0.8885580739758261,0.8024719814183535,0.941572159940746,min-max
pre_released,Fitts,inf,10,0.8838080387410177,0.8554360874542111,0.9121799900278242,0.8863713554421226,0.7997256735408748,0.942068270732364,min-max
pre_released,crank,10.0,5,0.5527717481255532,0.5144930084780454,0.591050487773061,0.5509299769997597,0.520521719455719,0.6026754608750343,min-max
pre_released,crank,20.0,5,0.6426029860973358,0.6266453289386034,0.6585606432560682,0.6395337191224099,0.6313222616910934,0.6629591172933579,min-max
pre_released,crank,inf,5,0.6493878804445267,0.6092432911369574,0.6895324697520959,0.6378605246543885,0.6074880787730217,0.6854448646306992,min-max
pre_released,object_moving,10.0,5,0.9216687340289355,0.9111162135795203,0.9322212544783506,0.924245785176754,0.9087118923664093,0.929767394438386,min-max
pre_released,object_moving,20.0,5,0.953451058715582,0.9451379549009469,0.9617641625302171,0.9572016227990389,0.9438421629369259,0.9589312314987183,min-max
pre_released,object_moving,inf,5,0.957412117794156,0.9523228698237179,0.9625013657645941,0.957680955901742,0.9522477809339762,0.9625601034611464,min-max
pre_released,pointing,10.0,2,0.9679151198126664,0.956469376581373,0.9793608630439599,0.9679151198126664,0.9670143202844873,0.9688159193408455,min-max
pre_released,pointing,20.0,2,0.9767319179169346,0.9562207017711538,0.9972431340627154,0.9767319179169346,0.975117650197213,0.9783461856366562,min-max
pre_released,pointing,inf,2,0.9756767063541691,0.9581781875160588,0.9931752251922795,0.9756767063541691,0.9742995430547071,0.9770538696536312,min-max
pre_released,steering,10.0,9,0.9427065092656347,0.9377954231232701,0.9476175954079993,0.9404375180602074,0.9337760299444199,0.9531930163502693,min-max
pre_released,steering,20.0,9,0.962154352499379,0.9569329336940607,0.9673757713046972,0.9616671726107597,0.9528150796890259,0.9735766261816025,min-max
pre_released,steering,inf,9,0.9643331156836614,0.958921437829253,0.9697447935380699,0.963429182767868,0.9545935422182084,0.974651251733303,min-max
pre_released,tablet_writing,10.0,44,0.7954690694138516,0.7826597404729405,0.8082783983547628,0.79912902767008,0.7083678556603625,0.8655532463030382,p2.5-p97.5
pre_released,tablet_writing,20.0,44,0.8302175255273302,0.8188986149429567,0.8415364361117037,0.8361578763180215,0.7470288408591467,0.8859958831288598,p2.5-p97.5
pre_released,tablet_writing,inf,44,0.8357827332241711,0.8244392234699676,0.8471262429783746,0.8417689413310372,0.754986781120141,0.8989123451269485,p2.5-p97.5
pre_released,whacamole,10.0,181,0.8865673449816625,0.8761254958887692,0.8970091940745557,0.9153642058372498,0.6599306762218475,0.9484503865242004,p2.5-p97.5
pre_released,whacamole,20.0,181,0.9071897992771634,0.8963291916556956,0.9180504068986312,0.9350351095199584,0.6714332103729248,0.9694277346134186,p2.5-p97.5
pre_released,whacamole,inf,181,0.9112293957346711,0.9004167699696792,0.922042021499663,0.939445972442627,0.6746782660484314,0.9731766581535339,p2.5-p97.5
pre_rerun,Fitts,10.0,10,0.8734802046087594,0.8434015566342815,0.9035588525832373,0.8757303262685454,0.7842772414010984,0.9331472375975226,min-max
pre_rerun,Fitts,20.0,10,0.8837507599454135,0.8542777042296131,0.9132238156612139,0.8881177421675763,0.7949719562850617,0.9405596483321417,min-max
pre_rerun,Fitts,inf,10,0.8793072015868916,0.8499467813746875,0.9086676217990957,0.8816986528238575,0.7952507386604944,0.9401804481600103,min-max
pre_rerun,crank,10.0,5,0.5045991768240928,0.4762297485649438,0.5329686050832418,0.5109491077065468,0.4766290730237961,0.5318048176169395,min-max
pre_rerun,crank,20.0,5,0.6021254534721374,0.5626058685035626,0.6416450384407122,0.59399743527174,0.5610285672545433,0.6469077032804489,min-max
pre_rerun,crank,inf,5,0.2599320073723793,-0.23646781275098705,0.7563318274957457,0.4801066130399704,-0.3283306720852852,0.5666941383481026,min-max
pre_rerun,object_moving,10.0,5,0.9246885263919828,0.9173369800629516,0.9320400727210141,0.9253036964684724,0.9155439365655184,0.9321180742233992,min-max
pre_rerun,object_moving,20.0,5,0.9541039652377368,0.9474543550589747,0.9607535754164989,0.9546197094023228,0.9476184207946062,0.960321843251586,min-max
pre_rerun,object_moving,inf,5,0.9527397387474774,0.9502144900312519,0.9552649874637029,0.9519177127629519,0.9502567417919636,0.9549072336405515,min-max
pre_rerun,pointing,10.0,2,0.9699651702631864,0.9356857223191732,1.0042446182071996,0.9699651702631864,0.9672673192009869,0.9726630213253858,min-max
pre_rerun,pointing,20.0,2,0.9770198400941053,0.955750826173303,0.9982888540149075,0.9770198400941053,0.9753459323960615,0.9786937477921489,min-max
pre_rerun,pointing,inf,2,0.974682497952585,0.9170404044983027,1.0323245914068673,0.974682497952585,0.9701459668127888,0.9792190290923811,min-max
pre_rerun,steering,10.0,9,0.9475220031208463,0.9431942760373159,0.9518497302043768,0.9470434263348579,0.9391847848892212,0.9561471045017242,min-max
pre_rerun,steering,20.0,9,0.9670777708292007,0.9622980280540399,0.9718575136043615,0.9647787347435951,0.9574912145733834,0.9767294451594353,min-max
pre_rerun,steering,inf,9,0.96888175457716,0.9644171872762578,0.9733463218780621,0.9671258956193924,0.9602551341056824,0.9774243667721748,min-max
pre_rerun,tablet_writing,10.0,44,0.7995246590343407,0.787965932427313,0.8110833856413683,0.8033827764820769,0.7217218284807314,0.8583754560069153,p2.5-p97.5
pre_rerun,tablet_writing,20.0,44,0.8361054919425839,0.8258815989187174,0.8463293849664504,0.8412169627167961,0.7625773991939219,0.8853891698609699,p2.5-p97.5
