checkpoint,dataset,snr,metric,median,lower,upper,n_participants,interval
ft_B,pointing,20.0,Reconstruction_R2,0.9775713673117115,0.9774311693275676,0.9777115652958552,2,min–max
ft_B,pointing,20.0,Reconstruction_MASE,0.1585345688882353,0.1509950596764706,0.1660740781,2,min–max
ft_B,pointing,20.0,Number_of_submovements_per_second,1.6338598510140883,1.4604189211283536,1.8073007808998227,2,min–max
ft_B,pointing,inf,Reconstruction_R2,0.9787420802472826,0.9720966397826352,0.98538752071193,2,min–max
ft_B,pointing,inf,Reconstruction_MASE,0.1435390183336188,0.13714287695081967,0.1499351597164179,2,min–max
ft_B,pointing,inf,Number_of_submovements_per_second,2.6042748939729945,2.4771620438837294,2.7313877440622596,2,min–max
ft_B,steering,10.0,Reconstruction_R2,0.9404117681763389,0.9312296311060587,0.9514539539813995,9,min–max
ft_B,steering,10.0,Reconstruction_MASE,0.24343567583333334,0.21812451,0.265165585,9,min–max
ft_B,steering,10.0,Number_of_submovements_per_second,3.0033147048491697,2.661424786783755,3.586292177438736,9,min–max
ft_B,steering,20.0,Reconstruction_R2,0.9677477796872457,0.9614666663110256,0.9791750609874725,9,min–max
ft_B,steering,20.0,Reconstruction_MASE,0.15009809866666668,0.127013422875,0.16287635833333333,9,min–max
ft_B,steering,20.0,Number_of_submovements_per_second,4.037518960734208,3.6866436945274472,4.45207541808486,9,min–max
ft_B,steering,inf,Reconstruction_R2,0.9720656424760818,0.9684345960617066,0.9821475744247437,9,min–max
ft_B,steering,inf,Reconstruction_MASE,0.13573844588235295,0.11122671411764706,0.14205141866666665,9,min–max
ft_B,steering,inf,Number_of_submovements_per_second,5.239366094271342,4.688840992748737,5.56850990653038,9,min–max
ft_B,tablet_writing,10.0,Reconstruction_R2,0.809923165374332,0.7270934581756592,0.888602614402771,33,min–max
ft_B,tablet_writing,10.0,Reconstruction_MASE,0.3717723375,0.3002981,0.4863539,33,min–max
ft_B,tablet_writing,10.0,Number_of_submovements_per_second,8.21417909860611,4.745215326547623,11.016656756401062,33,min–max
ft_B,tablet_writing,20.0,Reconstruction_R2,0.8556887984275818,0.7828069403767586,0.9362645924091338,40,p2.5–p97.5
ft_B,tablet_writing,20.0,Reconstruction_MASE,0.31562203099999997,0.2278063784,0.41166380762499993,40,p2.5–p97.5
ft_B,tablet_writing,20.0,Number_of_submovements_per_second,8.9114546669381,5.046853667590767,11.445204120129345,40,p2.5–p97.5
ft_B,tablet_writing,inf,Reconstruction_R2,0.8731517593065898,0.7745007574558258,0.9519992470741272,38,min–max
ft_B,tablet_writing,inf,Reconstruction_MASE,0.27937856666666666,0.2080316375,0.43785504,38,min–max
ft_B,tablet_writing,inf,Number_of_submovements_per_second,9.408439323306084,5.33333346247673,11.755101084709167,38,min–max
ft_B,whacamole,10.0,Reconstruction_R2,0.926104336977005,0.6227931082248688,0.9553885623812676,128,p2.5–p97.5
ft_B,whacamole,10.0,Reconstruction_MASE,0.311037125,0.24524203975,0.7186056077500002,128,p2.5–p97.5
ft_B,whacamole,10.0,Number_of_submovements_per_second,3.796454071998596,1.6394812278449535,4.810055024921894,128,p2.5–p97.5
ft_B,whacamole,20.0,Reconstruction_R2,0.9558290541172028,0.6614575773477555,0.9828313782811166,128,p2.5–p97.5
ft_B,whacamole,20.0,Reconstruction_MASE,0.2120395,0.1524426935,0.6256646725000002,128,p2.5–p97.5
