checkpoint,dataset,snr,n,delta,lo,hi,p
ft_A,tablet_writing,inf,44,-0.0005413618794264057,-0.001452207365851116,0.0003694836069983047,0.2372389036684048
ft_A,whacamole,10.0,181,0.0001460527846826319,-0.00043719668019858094,0.0007293022495638447,0.6218231253440507
ft_A,whacamole,20.0,181,6.801087553329705e-05,-0.0005176977487898675,0.0006537194998564616,0.8190310062318543
ft_A,whacamole,inf,181,0.0001350868472736911,-0.0004162257914090149,0.0006863994859563971,0.6293311302730038
ft_B,Fitts,10.0,10,-0.002006603055802303,-0.0037314171289889726,-0.0002817889826156332,0.027280993310346027
ft_B,Fitts,20.0,10,-0.0022676582537204506,-0.0038998060571535133,-0.0006355104502873876,0.011871032649434758
ft_B,Fitts,inf,10,-0.004162619012116164,-0.006924047037240071,-0.0014011909869922567,0.00774948802491331
ft_B,crank,10.0,5,-0.003927926242351565,-0.010753765423578879,0.0028979129388757496,0.18534975944326182
ft_B,crank,20.0,5,-0.00652303916215895,-0.010330932912030492,-0.0027151454122874077,0.008930516905443714
ft_B,crank,inf,5,0.00984712576866149,-0.002497671242310118,0.022191922779633097,0.09114817576298886
ft_B,object_moving,10.0,5,0.010766259878873807,0.0044562992305567355,0.017076220527190877,0.00905546086953757
ft_B,object_moving,20.0,5,-0.0006935521215200469,-0.005323372059367741,0.003936267816327647,0.6988179466250914
ft_B,object_moving,inf,5,-0.0016529087722301661,-0.006226620663900923,0.0029208031194405916,0.3724486100108091
ft_B,pointing,10.0,2,0.0003674024680150878,-0.009974811279578935,0.01070961621560911,0.7300714640397283
ft_B,pointing,20.0,2,0.0009910226105043773,-0.018055665283314842,0.020037710504323597,0.628117033699558
ft_B,pointing,inf,2,-0.002525919430415413,-0.003509002528551161,-0.0015428363322796655,0.01949392281664866
ft_B,steering,10.0,9,-0.0029037677579455906,-0.004001503945663979,-0.0018060315702272023,0.00028949720616390804
ft_B,steering,20.0,9,-1.7152892218942463e-07,-0.0005116105059006831,0.0005112674480563042,0.9994018547789504
ft_B,steering,inf,9,0.0011015837391217624,0.0006453585328944963,0.0015578089453490286,0.0005296909394194564
ft_B,tablet_writing,10.0,44,0.004333245644176448,0.001835217639390139,0.0068312736489627565,0.001102178721908817
ft_B,tablet_writing,20.0,44,0.0018751042937094468,4.413015440136612e-05,0.0037060784330175275,0.04495610830106999
ft_B,tablet_writing,inf,44,0.0013971742942102178,-6.886608250657178e-05,0.0028632146709270073,0.061253257412166785
ft_B,whacamole,10.0,181,-0.007032888699631667,-0.009904435920333642,-0.004161341478929692,2.8729410633083505e-06
ft_B,whacamole,20.0,181,-0.006072542614699718,-0.008828521490871046,-0.0033165637385283906,2.2966257553688503e-05
ft_B,whacamole,inf,181,-0.006028882047748029,-0.008781352691888577,-0.003276411403607481,2.5533896620023474e-05
ft_A2,Fitts,10.0,10,-6.518145514472495e-05,-0.0017015720263668748,0.0015712091160774249,0.9301754373370684
ft_A2,Fitts,20.0,10,-0.00023259577813800059,-0.0013272471081313569,0.0008620555518553557,0.6422185599851287
ft_A2,Fitts,inf,10,-0.00043717406404921724,-0.0018822384129231966,0.0010078902848247619,0.5109789957293334
ft_A2,crank,10.0,5,-0.0030437350273132546,-0.012790623155166922,0.006703153100540413,0.4348449213292518
ft_A2,crank,20.0,5,0.00304206174612045,-0.0008905798810438475,0.006974703373284747,0.09823528806029622
ft_A2,crank,inf,5,0.012340363979339597,0.002655733292468685,0.02202499466621051,0.024060864438298926
ft_A2,object_moving,10.0,5,0.00425531268119812,0.0006876779342067552,0.007822947428189486,0.029609602515176175
ft_A2,object_moving,20.0,5,0.0005202220380306155,-0.002039392911474907,0.003079836987536138,0.6026950209844419
ft_A2,object_moving,inf,5,-0.00149589620530608,-0.003780227123774103,0.0007884347131619433,0.14318324729712584
ft_A2,pointing,10.0,2,0.00038021136664362354,-0.0201733051335707,0.020933727866857946,0.8530321558460989
