checkpoint,domain,group,metric,mean,lower,upper,n_units,unit
ft_released,organic,crank/snr10,Reconstruction_MASE,0.06591542890481651,0.05745449662208557,0.07394525408744812,5,participant
ft_released,organic,crank/snr10,Number_of_submovements_per_second,5.305760262385011,5.169230550527573,5.414874628186226,5,participant
ft_released,organic,object_moving/snrinf,Reconstruction_R2,0.9804616516679525,0.9767567351460457,0.9838818311691284,5,participant
ft_released,organic,object_moving/snrinf,Reconstruction_MASE,0.08793058139458299,0.07758164405822754,0.09643308818340302,5,participant
ft_released,organic,object_moving/snrinf,Number_of_submovements_per_second,3.9762511415407062,3.769737035036087,4.235294312238693,5,participant
ft_released,organic,object_moving/snr20,Reconstruction_R2,0.9824594562202692,0.9783103168010712,0.9853131301701069,5,participant
ft_released,organic,object_moving/snr20,Reconstruction_MASE,0.08431619313731789,0.07724793255329132,0.09121856093406677,5,participant
ft_released,organic,object_moving/snr20,Number_of_submovements_per_second,3.1728114605136217,2.9629629850387573,3.5999999195337296,5,participant
ft_released,organic,object_moving/snr10,Reconstruction_R2,0.9546198553293943,0.9481310844421387,0.9602564796805382,5,participant
ft_released,organic,object_moving/snr10,Reconstruction_MASE,0.1387046662196517,0.12748488783836365,0.15034380555152893,5,participant
ft_released,organic,object_moving/snr10,Number_of_submovements_per_second,2.2667424957454205,2.057734178379178,2.432432547211647,5,participant
ft_released,organic,pointing/snrinf,Reconstruction_R2,0.9892077530473471,0.9869920015335083,0.9910547733306885,2,participant
ft_released,organic,pointing/snrinf,Reconstruction_MASE,0.12781906689703465,0.11867415904998779,0.13314619660377502,2,participant
ft_released,organic,pointing/snrinf,Number_of_submovements_per_second,2.719264825768769,2.3255813866853714,3.1343282014131546,2,participant
ft_released,organic,pointing/snr20,Reconstruction_R2,0.9868105429410935,0.9844207689166069,0.988916277885437,2,participant
ft_released,organic,pointing/snr20,Reconstruction_MASE,0.14615295634418726,0.13146314024925232,0.152775377035141,2,participant
ft_released,organic,pointing/snr20,Number_of_submovements_per_second,1.5000955259241164,1.304347850382328,1.846153847873211,2,participant
ft_released,organic,pointing/snr10,Reconstruction_R2,0.9762742485105992,0.9713939428329468,0.9813753068447113,2,participant
ft_released,organic,pointing/snr10,Reconstruction_MASE,0.18938261058181524,0.18312783353030682,0.19655223190784454,2,participant
ft_released,organic,pointing/snr10,Number_of_submovements_per_second,0.5850858566444367,0.4878048598766327,0.9160305373370647,2,participant
ft_released,organic,steering/snrinf,Reconstruction_R2,0.9730139669179917,0.9691406190395355,0.9792980551719666,9,participant
ft_released,organic,steering/snrinf,Reconstruction_MASE,0.13440535364672543,0.11908744275569916,0.14148162305355072,9,participant
ft_released,organic,steering/snrinf,Number_of_submovements_per_second,5.533681018017233,5.225959941744804,5.771189756691456,9,participant
ft_released,organic,steering/snr20,Reconstruction_R2,0.9710959673672914,0.9668428599834442,0.9758787155151367,9,participant
ft_released,organic,steering/snr20,Reconstruction_MASE,0.1482213733792305,0.13585777580738068,0.1556064933538437,9,participant
ft_released,organic,steering/snr20,Number_of_submovements_per_second,4.022900010310114,3.8312047719955444,4.221913665533066,9,participant
ft_released,organic,steering/snr10,Reconstruction_R2,0.9445518400222063,0.9408085346221924,0.9507096409797668,9,participant
ft_released,organic,steering/snr10,Reconstruction_MASE,0.23794358506798743,0.22530540823936462,0.24863329268991943,9,participant
