checkpoint,dataset,snr,metric,participant,n_trials,estimate,lower,upper
pre_released,crank,inf,Number_of_submovements_per_second,OPO,200,4.647257851436734,4.463661332214252,4.838379770927131
pre_released,crank,inf,Reconstruction_MASE,BGN,200,0.12304178503499999,0.11895030665649999,0.12710120546
pre_released,crank,inf,Reconstruction_MASE,INZ,200,0.12015257966,0.11593232777049998,0.124772230224125
pre_released,crank,inf,Reconstruction_MASE,IWD,200,0.12430126524,0.12053972730275,0.128294676211375
pre_released,crank,inf,Reconstruction_MASE,KTN,200,0.11355797626000001,0.11091732773249999,0.116365885345875
pre_released,crank,inf,Reconstruction_MASE,OPO,200,0.12113396577999999,0.11753772680612498,0.12499127862625
pre_released,crank,inf,Reconstruction_R2,BGN,200,0.6378605246543885,0.6051782454252242,0.6699555848017335
pre_released,crank,inf,Reconstruction_R2,INZ,200,0.63755704164505,0.6055989811420441,0.6676338084042072
pre_released,crank,inf,Reconstruction_R2,IWD,200,0.6854448646306992,0.6506452801451087,0.717718326061964
pre_released,crank,inf,Reconstruction_R2,KTN,200,0.6785888925194741,0.6489103383719922,0.7083564946576953
pre_released,crank,inf,Reconstruction_R2,OPO,200,0.6074880787730217,0.5696736770719291,0.6446101062446833
pre_released,object_moving,10.0,Number_of_submovements_per_second,1,160,2.4088139495579526,2.254061264265329,2.561020934436237
pre_released,object_moving,10.0,Number_of_submovements_per_second,3,160,2.3825578708201647,2.238236125613912,2.5245127807284007
pre_released,object_moving,10.0,Number_of_submovements_per_second,5,160,2.4054846565704793,2.2730195427546276,2.5495877609762827
pre_released,object_moving,10.0,Number_of_submovements_per_second,7,160,2.4950999276479706,2.3447394554765197,2.6570896430901483
pre_released,object_moving,10.0,Number_of_submovements_per_second,9,160,2.3622495968593284,2.2303989558422472,2.4968584712856683
pre_released,object_moving,10.0,Reconstruction_MASE,1,160,0.15386648362500002,0.14297740241703125,0.16574947512296875
pre_released,object_moving,10.0,Reconstruction_MASE,3,160,0.1646300377,0.15388215263328126,0.17647897867453124
pre_released,object_moving,10.0,Reconstruction_MASE,5,160,0.16448441664375,0.15443285448562502,0.17554576682437495
pre_released,object_moving,10.0,Reconstruction_MASE,7,160,0.17233031133125,0.159715010289375,0.18677804695953124
pre_released,object_moving,10.0,Reconstruction_MASE,9,160,0.15947428574375003,0.15052265525031253,0.16916312566093752
pre_released,object_moving,10.0,Reconstruction_R2,1,160,0.927615549042821,0.9124139587301762,0.9410228606592864
pre_released,object_moving,10.0,Reconstruction_R2,3,160,0.918003049120307,0.8994273184519261,0.9330258939415217
pre_released,object_moving,10.0,Reconstruction_R2,5,160,0.924245785176754,0.9107639278750866,0.935767545066774
pre_released,object_moving,10.0,Reconstruction_R2,7,160,0.9087118923664093,0.8856880528945476,0.9276725993491709
pre_released,object_moving,10.0,Reconstruction_R2,9,160,0.929767394438386,0.9188359020557254,0.9399076446238904
pre_released,object_moving,20.0,Number_of_submovements_per_second,1,160,3.0468725486425683,2.8603627020522255,3.2496426602447173
pre_released,object_moving,20.0,Number_of_submovements_per_second,3,160,3.005189429037273,2.848230571561726,3.182572479103692
pre_released,object_moving,20.0,Number_of_submovements_per_second,5,160,3.076608676230535,2.903052815236151,3.2493627536168788
pre_released,object_moving,20.0,Number_of_submovements_per_second,7,160,3.2094992408528924,3.039924720249837,3.373781406262424
pre_released,object_moving,20.0,Number_of_submovements_per_second,9,160,3.076904753688723,2.916757531184703,3.2449708175961858
pre_released,object_moving,20.0,Reconstruction_MASE,1,160,0.11613439649375001,0.10870084425859375,0.12481620184468747
pre_released,object_moving,20.0,Reconstruction_MASE,3,160,0.1286622490625,0.11916982100015625,0.13854712669203126
pre_released,object_moving,20.0,Reconstruction_MASE,5,160,0.11611732107499999,0.10865885629703123,0.12388878621546874
pre_released,object_moving,20.0,Reconstruction_MASE,7,160,0.11939503522500002,0.1125461739475,0.12684893855984378
pre_released,object_moving,20.0,Reconstruction_MASE,9,160,0.12927765449375,0.11849875111718752,0.1410192019359375
pre_released,object_moving,20.0,Reconstruction_R2,1,160,0.9572016227990389,0.9465755401179194,0.9654750022571534
pre_released,object_moving,20.0,Reconstruction_R2,3,160,0.9490142468363046,0.9397023956943303,0.9575235043745487
pre_released,object_moving,20.0,Reconstruction_R2,5,160,0.9589312314987183,0.9508401603996753,0.965873844427988
pre_released,object_moving,20.0,Reconstruction_R2,7,160,0.9582660295069217,0.9512846667971462,0.964376396080479
pre_released,object_moving,20.0,Reconstruction_R2,9,160,0.9438421629369259,0.9269903773441911,0.957103670425713
pre_released,object_moving,inf,Number_of_submovements_per_second,1,160,4.886187676806003,4.695031480095349,5.081338742002845
pre_released,object_moving,inf,Number_of_submovements_per_second,3,160,4.88672925112769,4.6758889058372,5.093534882878885
pre_released,object_moving,inf,Number_of_submovements_per_second,5,160,4.90546782896854,4.7128812215582006,5.100203116127522
pre_released,object_moving,inf,Number_of_submovements_per_second,7,160,4.9623874188400805,4.768207416753285,5.154216516134329
pre_released,object_moving,inf,Number_of_submovements_per_second,9,160,5.105581943644211,4.9376212863251565,5.28858866407536
pre_released,object_moving,inf,Reconstruction_MASE,1,160,0.11225046461249999,0.10589795199375,0.11860104819656249
pre_released,object_moving,inf,Reconstruction_MASE,3,160,0.123745767525,0.11622517884984374,0.131880481061875
pre_released,object_moving,inf,Reconstruction_MASE,5,160,0.11532317604375,0.10922928575093749,0.12220286109015624
pre_released,object_moving,inf,Reconstruction_MASE,7,160,0.1179142074625,0.11083447850078125,0.12519538055187499
pre_released,object_moving,inf,Reconstruction_MASE,9,160,0.12101844812500002,0.11371695672828125,0.1284226844971875
pre_released,object_moving,inf,Reconstruction_R2,1,160,0.9625601034611464,0.957727280985564,0.9669584746472537
pre_released,object_moving,inf,Reconstruction_R2,3,160,0.9522477809339762,0.9447302391100675,0.959606812754646
pre_released,object_moving,inf,Reconstruction_R2,5,160,0.9599242579191923,0.9535617178678513,0.9652605734299868
pre_released,object_moving,inf,Reconstruction_R2,7,160,0.957680955901742,0.950611752094701,0.963913092399016
pre_released,object_moving,inf,Reconstruction_R2,9,160,0.9546474907547235,0.9475421002693474,0.9610142475925385
pre_released,pointing,10.0,Number_of_submovements_per_second,B,332,1.1660999351136208,1.1058758570895395,1.2319978179202515
pre_released,pointing,10.0,Number_of_submovements_per_second,D,351,1.3693339658630455,1.2975820172279597,1.4458545139338024
pre_released,pointing,10.0,Reconstruction_MASE,B,332,0.19676025504518072,0.19103162062462348,0.2028528484856175
pre_released,pointing,10.0,Reconstruction_MASE,D,351,0.20924609354131052,0.20284012510740743,0.21551862518860398
pre_released,pointing,10.0,Reconstruction_R2,B,332,0.9670143202844873,0.9637653275202197,0.9700364169945199
pre_released,pointing,10.0,Reconstruction_R2,D,351,0.9688159193408455,0.9652970640280648,0.9720978807010542
pre_released,pointing,20.0,Number_of_submovements_per_second,B,332,1.9012552531750266,1.8211062022580216,1.9882618638838314
pre_released,pointing,20.0,Number_of_submovements_per_second,D,351,2.001129843485661,1.9336195884702296,2.073013646683345
pre_released,pointing,20.0,Reconstruction_MASE,B,332,0.16350912800903614,0.1583821091005271,0.16874483547921687
pre_released,pointing,20.0,Reconstruction_MASE,D,351,0.1712945172877493,0.16531836059501423,0.17705344701887463
pre_released,pointing,20.0,Reconstruction_R2,B,332,0.975117650197213,0.9726662459637386,0.9775297978646066
pre_released,pointing,20.0,Reconstruction_R2,D,351,0.9783461856366562,0.9755781072369668,0.9807886109690042
pre_released,pointing,inf,Number_of_submovements_per_second,B,332,3.7206691914204373,3.6152192153350775,3.8239551584112896
pre_released,pointing,inf,Number_of_submovements_per_second,D,351,4.099229249116193,3.978609156659526,4.221921176315309
pre_released,pointing,inf,Reconstruction_MASE,B,332,0.15684727455421688,0.15120871018305723,0.16270455079179216
