checkpoint,domain,group,variant,mean,lower,upper,n
pre_rerun,synthetic,all,per-trial mean (mine),0.9861548134051652,0.9856694112890788,0.9866106251642729,4608
pre_rerun,synthetic,all,pooled recompute (paper),0.981559312329686,0.98094251123111,0.9821354564574959,4608
pre_rerun,synthetic,snr10.0_refr0.0-0.5,per-trial mean (mine),0.9531007997657871,0.9519958456745371,0.9541747973125894,512
pre_rerun,synthetic,snr10.0_refr0.0-0.5,pooled recompute (paper),0.9540897839223655,0.9529905152167456,0.9551085618811375,512
pre_rerun,synthetic,snr10.0_refr0.5-1.0,per-trial mean (mine),0.9750291206625988,0.9743482992140343,0.9756641847547144,512
pre_rerun,synthetic,snr10.0_refr0.5-1.0,pooled recompute (paper),0.9755419762071681,0.974850012583194,0.9761806380222503,512
pre_rerun,synthetic,snr10.0_refr1-1.5,per-trial mean (mine),0.9889279479860561,0.9885869481338887,0.9892406817845767,512
pre_rerun,synthetic,snr10.0_refr1-1.5,pooled recompute (paper),0.989069999792993,0.9886890334644245,0.9894260017352071,512
pre_rerun,synthetic,snr20.0_refr0.0-0.5,per-trial mean (mine),0.9806452587274253,0.9800469578447519,0.9812177074665669,512
pre_rerun,synthetic,snr20.0_refr0.0-0.5,pooled recompute (paper),0.9811341956761651,0.9805576550067446,0.9817138452593305,512
pre_rerun,synthetic,snr20.0_refr0.5-1.0,per-trial mean (mine),0.9947444298844784,0.9942738449375611,0.995113822244457,512
pre_rerun,synthetic,snr20.0_refr0.5-1.0,pooled recompute (paper),0.9949125292792491,0.9945058438204736,0.9952467907030154,512
pre_rerun,synthetic,snr20.0_refr1-1.5,per-trial mean (mine),0.9978868964037975,0.9974641733628232,0.998235056453268,512
pre_rerun,synthetic,snr20.0_refr1-1.5,pooled recompute (paper),0.997830947565482,0.9972574474058883,0.9982587142100858,512
pre_rerun,synthetic,snrinf_refr0.0-0.5,per-trial mean (mine),0.9866076467148378,0.9861171593482141,0.9871135426015826,512
pre_rerun,synthetic,snrinf_refr0.0-0.5,pooled recompute (paper),0.986987730645552,0.9864697546449956,0.9874821662784576,512
pre_rerun,synthetic,snrinf_refr0.5-1.0,per-trial mean (mine),0.9987674700816278,0.998662121052621,0.998854935032432,512
pre_rerun,synthetic,snrinf_refr0.5-1.0,pooled recompute (paper),0.9987819550406726,0.9986518362737281,0.9988796439958415,512
pre_rerun,synthetic,snrinf_refr1-1.5,per-trial mean (mine),0.9996224039903027,0.9996108290273696,0.999633597661159,512
