checkpoint,dataset,snr,metric,n_participants,median,q25,q75,min_estimate,max_estimate,envelope_lo,envelope_hi,mixture_lo,mixture_hi
ft_A,pointing,10.0,Reconstruction_MASE,2,0.20122443391395067,0.19886929834101147,0.20357956948688988,0.19651416276807226,0.20593470505982908,0.19059170200173195,0.21227697968561252,0.19142213446603915,0.21113883803803418
ft_A,pointing,10.0,Reconstruction_R2,2,0.9683533650277405,0.9676649767088501,0.9690417533466308,0.9669765883899597,0.9697301416655212,0.9635599684059979,0.972386353609399,0.9640910591256906,0.9719185584248641
ft_A,pointing,20.0,Number_of_submovements_per_second,2,1.59302212116742,1.5165567309204955,1.6694875114143444,1.4400913406735711,1.7459529016612687,1.3824657205462805,1.8035665044489388,1.390954416136521,1.794079730207594
ft_A,pointing,20.0,Reconstruction_MASE,2,0.1555132397302887,0.1521355284615299,0.15889095099904746,0.1487578171927711,0.16226866226780626,0.1440287867384789,0.16882285860619659,0.14462175530474397,0.167696034633547
ft_A,pointing,20.0,Reconstruction_R2,2,0.9804491837426594,0.9800250646708591,0.9808733028144598,0.9796009455990587,0.9812974218862602,0.9755736924049861,0.983028832926269,0.9764393608327265,0.9829267443797315
ft_A,pointing,inf,Number_of_submovements_per_second,2,2.6151231767283356,2.535799795186593,2.694446558270078,2.4564764136448503,2.7737699398118205,2.3725046464606714,2.8606698189694915,2.3861889654576935,2.845670578117745
ft_A,pointing,inf,Reconstruction_MASE,2,0.14463581257750235,0.14291779590471504,0.14635382925028964,0.14119977923192772,0.14807184592307696,0.13573418883893074,0.15528319054337605,0.1365894212362199,0.15425984605235044
ft_A,pointing,inf,Reconstruction_R2,2,0.9789380091823829,0.9785967441334218,0.9792792742313442,0.9782554790844605,0.9796205392803055,0.9734271081933948,0.9823885337749438,0.9742676814651897,0.98234523454883
ft_A,steering,10.0,Number_of_submovements_per_second,9,2.9321536403149366,2.854513579979539,3.0173637717962265,2.6551605239510536,3.474368065595627,2.6108467023354023,3.559283272968605,2.638381104497239,3.504449474159628
ft_A,steering,10.0,Reconstruction_MASE,9,0.245616095,0.23758839150000002,0.24902243150000003,0.21799279774999997,0.263600446,0.21599537220624995,0.266102109375,0.21725375951875003,0.26449741811875
ft_A,steering,10.0,Reconstruction_R2,9,0.9412768051028252,0.9403581559658051,0.9423993870615959,0.9335649207234382,0.9515911504626274,0.9317936704680323,0.9527384937554598,0.9328788475319743,0.9521604399010539
ft_A,steering,20.0,Number_of_submovements_per_second,9,4.074860483407974,3.942333474755287,4.2808129247277975,3.752378348261118,4.494474057108164,3.7024945703800767,4.5704805655404925,3.7264381343498827,4.523624078091234
ft_A,steering,20.0,Reconstruction_MASE,9,0.15170156675,0.143273279,0.15532023825,0.125864268775,0.16157169575000002,0.12359631564999998,0.1635324225,0.124905614855625,0.16243497848125002
ft_A,steering,20.0,Reconstruction_R2,9,0.9683569207787514,0.9664193838834763,0.9736530005931854,0.9623809859156609,0.9798032268881798,0.9606904567778111,0.9805696823447942,0.9617806304246187,0.9801188499853015
ft_A,steering,inf,Number_of_submovements_per_second,9,5.706317503005266,5.246850427240133,5.798831317573786,4.977946735918522,5.941174943000078,4.915332996938377,6.020028297230601,4.955349154025316,5.971363772638142
ft_A,steering,inf,Reconstruction_MASE,9,0.13925577925000002,0.12930652660000003,0.14116749025,0.1144598667,0.14909309425,0.112197545953125,0.1515519758125,0.11352736191937499,0.1500198102875
ft_A,steering,inf,Reconstruction_R2,9,0.9705853343009949,0.9686410441994667,0.9760784342885017,0.9642452418804168,0.9810543179512023,0.9627146603167057,0.9818228844180703,0.9636179816350341,0.9814601647853851
ft_A,tablet_writing,10.0,Number_of_submovements_per_second,44,7.003337183459239,6.856613737366655,7.464804391869727,4.437528420239687,8.53387467133311,3.8871395606547594,8.911499130378406,4.810799680379304,8.502678336301708
ft_A,tablet_writing,10.0,Reconstruction_MASE,44,0.3759418286764706,0.35587872933556153,0.40724281099264703,0.28409092083333337,0.5125464949999999,0.2628820593958333,0.5417199857132352,0.30161839121931816,0.4930390522573529
ft_A,tablet_writing,10.0,Reconstruction_R2,44,0.8093481557801309,0.7987549974777323,0.8256709609638879,0.7314745310474845,0.8788925309975942,0.704856861295069,0.9028219023098548,0.7284048812456235,0.8759496927261352
ft_A,tablet_writing,20.0,Number_of_submovements_per_second,44,8.673178335482424,8.36273595146827,9.075489393908551,6.465824618935585,9.95577027161534,5.978134729433805,10.456284999847412,6.6354224096376075,9.953163516872069
ft_A,tablet_writing,20.0,Reconstruction_MASE,44,0.3090201861764706,0.2867208202727273,0.32967952298076925,0.20240130041666668,0.42728533029411764,0.1822300114375,0.45845149670588237,0.239265622,0.42412444599999993
ft_A,tablet_writing,20.0,Reconstruction_R2,44,0.857881681610118,0.8433364524082704,0.8738638364216861,0.790158888872932,0.9325347319245338,0.7627685779596076,0.9435016203671693,0.782298544921725,0.9235339083533847
ft_A,tablet_writing,inf,Number_of_submovements_per_second,44,9.248369913787286,8.864709983605763,9.552967560059207,7.435430139303207,10.27730305405224,6.947976712603122,10.688447611954283,7.584589735056985,10.322269475306657
ft_A,tablet_writing,inf,Reconstruction_MASE,44,0.29686910956149737,0.27424799473636363,0.3193408223299632,0.20186153229166667,0.41350815617647063,0.18432320328125001,0.4467881301691176,0.2200964713909091,0.41164349747794116
ft_A,tablet_writing,inf,Reconstruction_R2,44,0.8654471321130197,0.8510317421772263,0.8796848080736627,0.7968251372084898,0.9287983526786169,0.7663396989159724,0.940843419979016,0.7890561716083219,0.927475110171645
ft_A,whacamole,10.0,Number_of_submovements_per_second,181,3.5427414625883102,2.9471732676029205,3.982252031564713,1.2315088883042336,4.983830451965332,1.2315088883042336,4.983830451965332,1.3136805966496468,4.52914372086525
ft_A,whacamole,10.0,Reconstruction_MASE,181,0.30726826,0.28668517,0.3384026,0.21694285,0.77052194,0.21694285,0.77052194,0.24067707,0.660111
ft_A,whacamole,10.0,Reconstruction_R2,181,0.9286616444587708,0.8927217125892639,0.9398775696754456,0.5911774039268494,0.9647093415260316,0.5911774039268494,0.9647093415260316,0.6887006759643555,0.9600844979286194
ft_A,whacamole,20.0,Number_of_submovements_per_second,181,5.060981512069702,4.0682655572891235,5.52733987569809,1.3535502925515177,7.450798898935318,1.3535502925515177,7.450798898935318,1.665712594985962,6.583472192287445
ft_A,whacamole,20.0,Reconstruction_MASE,181,0.2113617,0.19480303,0.24699153,0.13252473,0.74448836,0.13252473,0.74448836,0.15800048,0.55853736
ft_A,whacamole,20.0,Reconstruction_R2,181,0.9561814069747924,0.9185019731521606,0.9670594334602356,0.6103893518447876,0.9845554232597352,0.6103893518447876,0.9845554232597352,0.7095488905906677,0.9806061387062072
ft_A,whacamole,inf,Number_of_submovements_per_second,181,5.570041537284851,4.426548331975937,6.266741305589676,1.4589497074484823,8.52789044380188,1.4589497074484823,8.52789044380188,1.8434975668787956,7.344913333654404
ft_A,whacamole,inf,Reconstruction_MASE,181,0.19112383,0.17321834,0.229169,0.11891997,0.7331772,0.11891997,0.7331772,0.1327305,0.5408581
ft_A,whacamole,inf,Reconstruction_R2,181,0.958849310874939,0.9220204949378968,0.9698124527931212,0.6122837066650391,0.9872325658798218,0.6122837066650391,0.9872325658798218,0.7101430296897888,0.9815469980239868
ft_B,Fitts,10.0,Number_of_submovements_per_second,10,1.6053685950982368,1.3218846738398555,1.812914416549517,1.1344871211213312,2.053788025966949,1.1009052098741592,2.125101073645055,1.1224136720840658,2.078356645144393
ft_B,Fitts,10.0,Reconstruction_MASE,10,0.3252095375226147,0.2942083501989389,0.3325047904650222,0.2408069341935484,0.4046931539814815,0.22964600300960064,0.43262511553182864,0.23690630400960067,0.41392034885243045
ft_B,Fitts,10.0,Reconstruction_R2,10,0.8688146542639485,0.8461814388563788,0.8976830729723342,0.7789472473992242,0.9292533570720304,0.7661096903771438,0.9365918744818955,0.774812707129038,0.9320294046571361
ft_B,Fitts,20.0,Number_of_submovements_per_second,10,1.7783402143177673,1.6021869267435735,1.916313000789766,1.3733857448864157,2.2033083209923157,1.3338930213611795,2.2739737844612034,1.3598022466419017,2.2310656409503684
ft_B,Fitts,20.0,Reconstruction_MASE,10,0.29286191967363245,0.2625110239074913,0.30495325080439806,0.21326686468356373,0.3779533663657408,0.2031073636377112,0.4008476001851852,0.2094989248571813,0.38557101019560186
ft_B,Fitts,20.0,Reconstruction_R2,10,0.8838575068447325,0.8659599184369047,0.9085357975831793,0.7919714220420078,0.9384798525665213,0.7790878561428852,0.9459188998455094,0.7876608840741769,0.9412873457356166
ft_B,Fitts,inf,Number_of_submovements_per_second,10,2.0326918225130046,1.9216855939763482,2.190213223819026,1.623133745164456,2.5759330631182014,1.5784959357461827,2.648481827698156,1.6070282128575242,2.601581244959056
ft_B,Fitts,inf,Reconstruction_MASE,10,0.2900729367268625,0.2583450748331296,0.2993908046354167,0.20818479824884795,0.3766337163657408,0.1983679087043011,0.3978624226018518,0.20469779322196618,0.38370237167534726
ft_B,Fitts,inf,Reconstruction_R2,10,0.8825071798162232,0.8683821937345244,0.9025832529813965,0.7861087336032478,0.9396914283068316,0.7730224602959221,0.9466737406640192,0.7820268449718477,0.9423990360328129
ft_B,crank,10.0,Number_of_submovements_per_second,5,4.969750466197729,4.939882028102875,4.991228873468936,4.753539233654737,5.004048730060458,4.6732353421859445,5.076191263832151,4.706968360897153,5.057983909444883
