checkpoint,dataset,snr,mean,lower,upper,n
pre_rerun,pointing,10.0,0.9741113368844811,0.9413807244018431,1.0068419493671192,2
pre_rerun,pointing,20.0,0.9763924267654326,0.9684554575407028,0.9843293959901623,2
pre_rerun,pointing,inf,0.9697587451507212,0.8167077989172631,1.1228096913841794,2
pre_rerun,steering,10.0,0.9479587619127048,0.9429936227508442,0.9529239010745654,9
pre_rerun,steering,20.0,0.9665634350000339,0.9621323432754948,0.9709945267245731,9
pre_rerun,steering,inf,0.9689029268606598,0.964731509702866,0.9730743440184536,9
pre_rerun,tablet_writing,10.0,0.7965575376443992,0.7770271787359406,0.8160878965528577,33
pre_rerun,tablet_writing,20.0,0.835597023568338,0.8189330256287801,0.8522610215078958,40
pre_rerun,tablet_writing,inf,0.8418695407553125,0.8240401164169155,0.8596989650937095,38
pre_rerun,whacamole,10.0,0.8795526372268796,0.8652774365565267,0.8938278378972325,128
pre_rerun,whacamole,20.0,0.9030609023757279,0.8883725751175343,0.9177492296339215,128
pre_rerun,whacamole,inf,0.9067595796659589,0.8920962610803295,0.9214228982515883,128
pre_rerun_s1000,Fitts,10.0,0.8669757425123865,0.8299071464479354,0.9040443385768376,10
pre_rerun_s1000,Fitts,20.0,0.8853857298179861,0.8505449009852806,0.9202265586506917,10
pre_rerun_s1000,Fitts,inf,0.8514399415269202,0.8063459846326768,0.8965338984211635,10
pre_rerun_s1000,crank,10.0,0.4796346384780339,0.3845873736613186,0.5746819032947492,5
pre_rerun_s1000,crank,20.0,0.6272479217632231,0.5593887595523156,0.6951070839741306,5
pre_rerun_s1000,crank,inf,0.5863298648996262,0.39354916148159935,0.7791105683176531,5
pre_rerun_s1000,object_moving,10.0,0.9275600913025084,0.923771826458614,0.9313483561464028,5
pre_rerun_s1000,object_moving,20.0,0.9479262272341377,0.9362756892090028,0.9595767652592725,5
pre_rerun_s1000,object_moving,inf,0.9574940344546935,0.9486018104910311,0.9663862584183559,5
pre_rerun_s1000,pointing,10.0,0.9704838036690293,0.8935704975655254,1.0473971097725332,2
pre_rerun_s1000,pointing,20.0,0.9769254326820374,0.968469065097991,0.9853818002660837,2
pre_rerun_s1000,pointing,inf,0.9737188663376495,0.9487403398330772,0.9986973928422218,2
pre_rerun_s1000,steering,10.0,0.9460578966548153,0.9409976461956571,0.9511181471139736,9
pre_rerun_s1000,steering,20.0,0.9651419044184831,0.9601527906283506,0.9701310182086157,9
pre_rerun_s1000,steering,inf,0.967469106888914,0.9625562285132552,0.9723819852645728,9
pre_rerun_s1000,tablet_writing,10.0,0.7924249211271117,0.771975681574076,0.8128741606801474,33
pre_rerun_s1000,tablet_writing,20.0,0.8250928683898279,0.8040303205830677,0.8461554161965881,40
pre_rerun_s1000,tablet_writing,inf,0.8258688979728479,0.8049895593104553,0.8467482366352405,38
pre_rerun_s1000,whacamole,10.0,0.8861562921665609,0.8735108755672168,0.8988017087659049,128
pre_rerun_s1000,whacamole,20.0,0.9087946843355894,0.8957136998029573,0.9218756688682215,128
pre_rerun_s1000,whacamole,inf,0.9126754147000611,0.8995958688532053,0.9257549605469169,128
